,driverStandingsId,raceId,driverId,points,position,positionText,wins
33598,71472,1082,817,15.0,13,13,0
33599,71459,1082,844,126.0,3,3,2
33600,71473,1082,846,50.0,7,7,0
33601,71469,1082,854,0.0,19,19,0
33602,71480,1083,844,138.0,3,3,2
33603,71481,1083,832,127.0,4,4,1
33604,71482,1083,1,93.0,6,6,0
33605,71483,1083,847,111.0,5,5,0
33606,71484,1083,825,16.0,12,12,0
33607,71485,1083,822,46.0,8,8,0
33608,71486,1083,839,39.0,9,9,0
33609,71487,1083,852,11.0,15,15,0
33610,71488,1083,4,28.0,10,10,0
33611,71489,1083,855,5.0,16,16,0
33612,71490,1083,854,4.0,17,17,0
33613,71491,1083,840,3.0,19,19,0
33614,71492,1083,848,3.0,18,18,0
33615,71493,1083,817,15.0,14,14,0
33616,71494,1083,846,58.0,7,7,0
33617,71495,1083,849,0.0,20,20,0
33618,71496,1083,807,0.0,21,21,0
33619,71497,1083,815,147.0,2,2,1
33620,71498,1083,830,181.0,1,1,6
33621,71499,1083,842,16.0,11,11,0
33622,71500,1083,20,15.0,13,13,0
33623,71501,1084,844,170.0,2,2,3
33624,71502,1084,832,133.0,4,4,1
33625,71503,1084,1,109.0,6,6,0
33626,71504,1084,847,128.0,5,5,0
33627,71505,1084,825,22.0,11,11,0
33628,71506,1084,822,46.0,9,9,0
33629,71507,1084,839,52.0,8,8,0
33630,71508,1084,852,11.0,16,16,0
33631,71509,1084,4,29.0,10,10,0
33632,71510,1084,855,5.0,17,17,0
33633,71511,1084,854,12.0,15,15,0
33634,71512,1084,840,3.0,19,19,0
33635,71513,1084,848,3.0,18,18,0
33636,71514,1084,817,17.0,12,12,0
33637,71515,1084,846,64.0,7,7,0
33638,71516,1084,849,0.0,20,20,0
33639,71517,1084,807,0.0,21,21,0
33640,71518,1084,815,151.0,3,3,1
33641,71519,1084,830,208.0,1,1,6
33642,71520,1084,842,16.0,13,13,0
33643,71521,1084,20,15.0,14,14,0
33644,71522,1085,844,170.0,2,2,3
33645,71523,1085,832,144.0,4,4,1
33646,71524,1085,1,127.0,6,6,0
33647,71525,1085,847,143.0,5,5,0
33648,71526,1085,825,22.0,11,11,0
33649,71527,1085,822,46.0,9,9,0
33650,71528,1085,839,56.0,8,8,0
33651,71529,1085,852,11.0,16,16,0
33652,71530,1085,4,37.0,10,10,0
33653,71531,1085,855,5.0,17,17,0
33654,71532,1085,854,12.0,15,15,0
33655,71533,1085,840,4.0,18,18,0
33656,71534,1085,848,3.0,19,19,0
33657,71535,1085,817,19.0,12,12,0
33658,71536,1085,846,70.0,7,7,0
33659,71537,1085,849,0.0,20,20,0
33660,71538,1085,807,0.0,21,21,0
33661,71539,1085,815,163.0,3,3,1
33662,71540,1085,830,233.0,1,1,7
33663,71541,1085,842,16.0,13,13,0
33664,71542,1085,20,15.0,14,14,0
33665,71543,1086,844,178.0,2,2,3
33666,71544,1086,832,156.0,5,5,1
33667,71545,1086,1,146.0,6,6,0
33668,71546,1086,847,158.0,4,4,0
33669,71547,1086,825,22.0,11,11,0
33670,71548,1086,822,46.0,9,9,0
33671,71549,1086,839,58.0,8,8,0
33672,71550,1086,852,11.0,16,16,0
33673,71551,1086,4,41.0,10,10,0
33674,71552,1086,855,5.0,17,17,0
33675,71553,1086,854,12.0,15,15,0
33676,71554,1086,840,4.0,18,18,0
33677,71555,1086,848,3.0,19,19,0
33678,71556,1086,817,19.0,12,12,0
33679,71557,1086,846,76.0,7,7,0
33680,71558,1086,849,0.0,20,20,0
33681,71559,1086,807,0.0,21,21,0
33682,71560,1086,815,173.0,3,3,1
33683,71561,1086,830,258.0,1,1,8
33684,71562,1086,842,16.0,13,13,0
33685,71563,1086,20,16.0,14,14,0
33686,71564,1087,844,186.0,3,3,3
33687,71565,1087,832,171.0,4,4,1
33688,71566,1087,1,146.0,6,6,0
33689,71567,1087,847,170.0,5,5,0
33690,71568,1087,825,22.0,11,11,0
33691,71569,1087,822,46.0,10,10,0
33692,71570,1087,839,64.0,8,8,0
33693,71571,1087,852,11.0,16,16,0
33694,71572,1087,4,51.0,9,9,0
33695,71573,1087,855,5.0,17,17,0
33696,71574,1087,854,12.0,15,15,0
33697,71575,1087,840,4.0,19,19,0
33698,71576,1087,848,4.0,18,18,0
33699,71577,1087,817,19.0,13,13,0
33700,71578,1087,846,76.0,7,7,0
33701,71579,1087,849,0.0,20,20,0
33702,71580,1087,807,0.0,21,21,0
33703,71581,1087,815,191.0,2,2,1
33704,71582,1087,830,284.0,1,1,9
33705,71583,1087,842,18.0,14,14,0
33706,71584,1087,20,20.0,12,12,0
33707,71585,1088,844,201.0,2,2,3
33708,71586,1088,832,175.0,5,5,1
33709,71587,1088,1,158.0,6,6,0
33710,71588,1088,847,188.0,4,4,0
33711,71589,1088,825,22.0,11,11,0
33712,71590,1088,822,46.0,10,10,0
33713,71591,1088,839,66.0,8,8,0
33714,71592,1088,852,11.0,16,16,0
33715,71593,1088,4,59.0,9,9,0
33716,71594,1088,855,5.0,17,17,0
33717,71595,1088,854,12.0,15,15,0
33718,71596,1088,840,5.0,18,18,0
33719,71597,1088,848,4.0,19,19,0
33720,71598,1088,817,19.0,13,13,0
33721,71599,1088,846,82.0,7,7,0
33722,71600,1088,849,0.0,20,20,0
33723,71601,1088,807,0.0,21,21,0
33724,71602,1088,815,201.0,3,3,1
33725,71603,1088,830,310.0,1,1,10
33726,71604,1088,842,18.0,14,14,0
33727,71605,1088,20,20.0,12,12,0
33728,71606,1089,844,219.0,2,2,3
33729,71607,1089,832,187.0,5,5,1
33730,71608,1089,1,168.0,6,6,0
33731,71609,1089,847,203.0,4,4,0
33732,71610,1089,825,22.0,12,12,0
33733,71611,1089,822,46.0,10,10,0
33734,71612,1089,839,66.0,8,8,0
33735,71613,1089,852,11.0,16,16,0
33736,71614,1089,4,59.0,9,9,0
33737,71615,1089,855,6.0,17,17,0
33738,71616,1089,854,12.0,15,15,0
33739,71617,1089,840,5.0,18,18,0
33740,71618,1089,848,4.0,19,19,0
33741,71619,1089,817,19.0,14,14,0
33742,71620,1089,846,88.0,7,7,0
33743,71621,1089,849,0.0,21,21,0
33744,71622,1089,807,0.0,22,22,0
33745,71623,1089,815,210.0,3,3,1
33746,71624,1089,830,335.0,1,1,11
33747,71625,1089,842,22.0,11,11,0
33748,71626,1089,20,20.0,13,13,0
33749,71627,1089,856,2.0,20,20,0
33750,71628,1091,844,237.0,2,2,3
33751,71629,1091,832,202.0,5,5,1
33752,71630,1091,1,170.0,6,6,0
33753,71631,1091,847,203.0,4,4,0
33754,71632,1091,825,22.0,14,14,0
33755,71633,1091,822,46.0,10,10,0
33756,71634,1091,839,66.0,8,8,0
33757,71635,1091,852,11.0,17,17,0
33758,71636,1091,4,59.0,9,9,0
33759,71637,1091,855,6.0,18,18,0
33760,71638,1091,854,12.0,16,16,0
33761,71639,1091,840,13.0,15,15,0
33762,71640,1091,848,4.0,19,19,0
33763,71641,1091,817,29.0,11,11,0
33764,71642,1091,846,100.0,7,7,0
33765,71643,1091,849,0.0,21,21,0
33766,71644,1091,807,0.0,22,22,0
33767,71645,1091,815,235.0,3,3,2
33768,71646,1091,830,341.0,1,1,11
33769,71647,1091,842,23.0,13,13,0
33770,71648,1091,20,24.0,12,12,0
33771,71649,1091,856,2.0,20,20,0
33772,71693,1092,856,2.0,21,21,0
33773,71692,1092,20,32.0,11,11,0
33774,71691,1092,842,23.0,13,13,0
33775,71690,1092,830,366.0,1,1,12
33776,71689,1092,815,253.0,2,2,2
33777,71688,1092,807,0.0,22,22,0
33778,71687,1092,849,2.0,20,20,0
33779,71686,1092,846,101.0,7,7,0
33780,71685,1092,817,29.0,12,12,0
33781,71684,1092,848,4.0,19,19,0
33782,71673,1092,832,202.0,5,5,1
33783,71674,1092,1,180.0,6,6,0
33784,71675,1092,847,207.0,4,4,0
33785,71676,1092,825,22.0,14,14,0
33786,71677,1092,822,46.0,10,10,0
33787,71678,1092,839,78.0,8,8,0
33788,71679,1092,852,11.0,17,17,0
33789,71680,1092,4,65.0,9,9,0
33790,71681,1092,855,6.0,18,18,0
33791,71682,1092,854,12.0,16,16,0
33792,71683,1092,840,13.0,15,15,0
33793,71672,1092,844,252.0,3,3,3
33794,71759,1093,856,2.0,21,21,0
33795,71758,1093,20,36.0,11,11,0
33796,71756,1093,830,391.0,1,1,13
33797,71755,1093,815,265.0,3,3,2
33798,71753,1093,849,2.0,20,20,0
33799,71751,1093,817,29.0,12,12,0
33800,71750,1093,848,4.0,19,19,0
33801,71748,1093,854,12.0,16,16,0
33802,71747,1093,855,6.0,18,18,0
33803,71746,1093,4,71.0,9,9,0
33804,71744,1093,839,78.0,8,8,0
33805,71743,1093,822,46.0,10,10,0
33806,71741,1093,847,218.0,4,4,0
33807,71739,1093,832,202.0,5,5,1
33808,71745,1093,852,12.0,17,17,0
33809,71749,1093,840,13.0,15,15,0
33810,71757,1093,842,23.0,14,14,0
33811,71740,1093,1,198.0,6,6,0
33812,71742,1093,825,24.0,13,13,0
33813,71754,1093,807,0.0,22,22,0
33814,71752,1093,846,109.0,7,7,0
33815,71738,1093,844,267.0,2,2,3
33816,71782,1095,844,290.0,2,2,3
33817,71781,1094,856,2.0,21,21,0
33818,71780,1094,20,36.0,11,11,0
33819,71779,1094,842,23.0,14,14,0
33820,71778,1094,830,416.0,1,1,14
33821,71777,1094,815,280.0,2,2,2
33822,71776,1094,807,0.0,22,22,0
33823,71775,1094,849,2.0,20,20,0
33824,71774,1094,846,111.0,7,7,0
33825,71773,1094,817,35.0,12,12,0
33826,71772,1094,848,4.0,19,19,0
33827,71761,1094,832,212.0,6,6,1
33828,71762,1094,1,216.0,5,5,0
33829,71763,1094,847,231.0,4,4,0
33830,71764,1094,825,24.0,13,13,0
33831,71765,1094,822,47.0,10,10,0
33832,71766,1094,839,82.0,8,8,0
33833,71767,1094,852,12.0,17,17,0
33834,71768,1094,4,71.0,9,9,0
33835,71769,1094,855,6.0,18,18,0
33836,71770,1094,854,12.0,16,16,0
33837,71771,1094,840,13.0,15,15,0
33838,71760,1094,844,275.0,3,3,3
33839,71783,1095,832,234.0,6,6,1
33840,71784,1095,1,240.0,5,5,0
33841,71785,1095,847,265.0,4,4,1
33842,71786,1095,825,25.0,13,13,0
33843,71787,1095,822,49.0,10,10,0
33844,71788,1095,839,86.0,8,8,0
33845,71789,1095,852,12.0,17,17,0
33846,71790,1095,4,81.0,9,9,0
33847,71791,1095,855,6.0,18,18,0
33848,71792,1095,854,12.0,16,16,0
33849,71793,1095,840,14.0,15,15,0
33850,71794,1095,848,4.0,19,19,0
33851,71795,1095,817,35.0,12,12,0
33852,71796,1095,846,113.0,7,7,0
33853,71797,1095,849,2.0,20,20,0
33854,71798,1095,807,0.0,22,22,0
33855,71799,1095,815,290.0,3,3,2
33856,71800,1095,830,429.0,1,1,14
33857,71801,1095,842,23.0,14,14,0
33858,71802,1095,20,36.0,11,11,0
33859,71803,1095,856,2.0,21,21,0
33860,71804,1096,844,308.0,2,2,3
33861,71805,1096,832,246.0,5,5,1
33862,71806,1096,1,240.0,6,6,0
33863,71807,1096,847,275.0,4,4,1
33864,71808,1096,825,25.0,13,13,0
33865,71809,1096,822,49.0,10,10,0
33866,71810,1096,839,92.0,8,8,0
33867,71811,1096,852,12.0,17,17,0
33868,71812,1096,4,81.0,9,9,0
33869,71813,1096,855,6.0,18,18,0
33870,71814,1096,854,12.0,16,16,0
33871,71815,1096,840,18.0,15,15,0
33872,71816,1096,848,4.0,19,19,0
33873,71817,1096,817,37.0,11,11,0
33874,71818,1096,846,122.0,7,7,0
33875,71819,1096,849,2.0,20,20,0
33876,71820,1096,807,0.0,22,22,0
33877,71821,1096,815,305.0,3,3,2
33878,71822,1096,830,454.0,1,1,15
33879,71823,1096,842,23.0,14,14,0
33880,71824,1096,20,37.0,12,12,0
33881,71825,1096,856,2.0,21,21,0
33882,72025,1098,857,0.0,20,20,0
33883,72024,1098,844,0.0,19,19,0
33884,72023,1098,839,0.0,18,18,0
33885,72022,1098,846,0.0,17,17,0
33886,72021,1098,855,0.0,16,16,0
33887,72020,1098,807,0.0,15,15,0
33888,72019,1098,856,0.0,14,14,0
33889,72018,1098,825,0.0,13,13,0
33890,72017,1098,858,0.0,12,12,0
33891,72016,1098,852,0.0,11,11,0
33892,72015,1098,848,1.0,10,10,0
33893,72014,1098,842,2.0,9,9,0
33894,72013,1098,822,4.0,8,8,0
33895,72012,1098,847,6.0,7,7,0
33896,72011,1098,840,8.0,6,6,0
33897,72010,1098,1,10.0,5,5,0
33898,72009,1098,832,12.0,4,4,0
33899,72008,1098,4,15.0,3,3,0
33900,72007,1098,815,18.0,2,2,0
33901,72006,1098,830,25.0,1,1,1
33902,71903,1099,839,4.0,10,10,0
33903,71901,1099,855,0.0,17,17,0
33904,71900,1099,807,0.0,15,15,0
33905,71899,1099,856,0.0,18,18,0
33906,71897,1099,858,0.0,16,16,0
33907,71896,1099,852,0.0,14,14,0
33908,71894,1099,842,4.0,11,11,0
33909,71893,1099,822,4.0,9,9,0
33910,71892,1099,847,18.0,6,6,0
33911,71891,1099,840,8.0,7,7,0
33912,71889,1099,832,20.0,4,4,0
33913,71887,1099,815,43.0,2,2,1
33914,71902,1099,846,0.0,20,20,0
33915,71905,1099,857,0.0,19,19,0
33916,71904,1099,844,6.0,8,8,0
33917,71888,1099,4,30.0,3,3,0
33918,71890,1099,1,20.0,5,5,0
33919,71895,1099,848,1.0,13,13,0
33920,71898,1099,825,1.0,12,12,0
33921,71886,1099,830,44.0,1,1,1
33922,71906,1100,830,69.0,1,1,2
33923,71907,1100,815,54.0,2,2,1
33924,71908,1100,4,45.0,3,3,0
33925,71909,1100,832,20.0,5,5,0
33926,71910,1100,1,38.0,4,4,0
33927,71911,1100,840,20.0,6,6,0
33928,71912,1100,847,18.0,7,7,0
33929,71913,1100,822,4.0,11,11,0
33930,71914,1100,842,4.0,14,14,0
33931,71915,1100,848,1.0,18,18,0
33932,71916,1100,852,1.0,16,16,0
33933,71917,1100,858,0.0,19,19,0
33934,71918,1100,825,1.0,17,17,0
33935,71919,1100,856,0.0,20,20,0
33936,71920,1100,807,6.0,9,9,0
33937,71921,1100,855,2.0,15,15,0
33938,71922,1100,846,8.0,8,8,0
33939,71923,1100,839,4.0,12,12,0
33940,71924,1100,844,6.0,10,10,0
33941,71925,1100,857,4.0,13,13,0
33942,71926,1101,830,93.0,1,1,2
33943,71927,1101,815,87.0,2,2,2
33944,71928,1101,4,60.0,3,3,0
33945,71929,1101,832,34.0,5,5,0
33946,71930,1101,1,48.0,4,4,0
33947,71931,1101,840,27.0,8,8,0
33948,71932,1101,847,28.0,7,7,0
33949,71933,1101,822,4.0,12,12,0
33950,71934,1101,842,4.0,14,14,0
33951,71935,1101,848,1.0,17,17,0
33952,71936,1101,852,2.0,16,16,0
33953,71937,1101,858,0.0,19,19,0
33954,71938,1101,825,1.0,18,18,0
33955,71939,1101,856,0.0,20,20,0
33956,71940,1101,807,6.0,10,10,0
33957,71941,1101,855,2.0,15,15,0
33958,71942,1101,846,10.0,9,9,0
33959,71943,1101,839,4.0,13,13,0
33960,71944,1101,844,28.0,6,6,0
33961,71945,1101,857,4.0,11,11,0
33962,71946,1102,830,119.0,1,1,3
33963,71947,1102,815,105.0,2,2,2
33964,71948,1102,4,75.0,3,3,0
33965,71949,1102,832,44.0,5,5,0
33966,71950,1102,1,56.0,4,4,0
33967,71951,1102,840,27.0,8,8,0
33968,71952,1102,847,40.0,6,6,0
33969,71953,1102,822,4.0,13,13,0
33970,71954,1102,842,8.0,10,10,0
33971,71955,1102,848,1.0,18,18,0
33972,71956,1102,852,2.0,16,16,0
33973,71957,1102,858,0.0,19,19,0
33974,71958,1102,825,2.0,17,17,0
33975,71959,1102,856,0.0,20,20,0
33976,71960,1102,807,6.0,11,11,0
33977,71961,1102,855,2.0,15,15,0
33978,71962,1102,846,10.0,9,9,0
33979,71963,1102,839,6.0,12,12,0
33980,71964,1102,844,34.0,7,7,0
33981,71965,1102,857,4.0,14,14,0
33982,71966,1104,830,144.0,1,1,4
33983,71967,1104,815,105.0,2,2,2
33984,71968,1104,4,93.0,3,3,0
33985,71969,1104,832,48.0,6,6,0
33986,71970,1104,1,69.0,4,4,0
33987,71971,1104,840,27.0,8,8,0
33988,71972,1104,847,50.0,5,5,0
33989,71973,1104,822,4.0,14,14,0
33990,71974,1104,842,14.0,10,10,0
33991,71975,1104,848,1.0,18,18,0
33992,71976,1104,852,2.0,16,16,0
33993,71977,1104,858,0.0,20,20,0
33994,71978,1104,825,2.0,17,17,0
33995,71979,1104,856,0.0,19,19,0
33996,71980,1104,807,6.0,12,12,0
33997,71981,1104,855,2.0,15,15,0
33998,71982,1104,846,12.0,11,11,0
33999,71983,1104,839,21.0,9,9,0
34000,71984,1104,844,42.0,7,7,0
34001,71985,1104,857,5.0,13,13,0
34002,72026,1105,830,170.0,1,1,5
34003,72027,1105,815,117.0,2,2,2
34004,72028,1105,4,99.0,3,3,0
34005,72029,1105,832,58.0,6,6,0
34006,72030,1105,1,87.0,4,4,0
34007,72031,1105,840,35.0,8,8,0
34008,72032,1105,847,65.0,5,5,0
34009,72033,1105,822,4.0,14,14,0
34010,72034,1105,842,15.0,10,10,0
34011,72035,1105,848,1.0,18,18,0
34012,72036,1105,852,2.0,16,16,0
34013,72037,1105,858,0.0,20,20,0
34014,72038,1105,825,2.0,17,17,0
34015,72039,1105,856,0.0,19,19,0
34016,72040,1105,807,6.0,12,12,0
34017,72041,1105,855,4.0,15,15,0
34018,72042,1105,846,12.0,11,11,0
34019,72043,1105,839,25.0,9,9,0
34020,72044,1105,844,42.0,7,7,0
34021,72045,1105,857,5.0,13,13,0
34022,72083,1106,839,29.0,9,9,0
34023,72082,1106,846,12.0,11,11,0
34024,72081,1106,855,4.0,16,16,0
34025,72080,1106,807,6.0,13,13,0
34026,72079,1106,856,0.0,19,19,0
34027,72078,1106,825,2.0,18,18,0
34028,72077,1106,858,0.0,20,20,0
34029,72076,1106,852,2.0,17,17,0
34030,72075,1106,848,7.0,12,12,0
34031,72074,1106,842,15.0,10,10,0
34032,72073,1106,822,5.0,15,15,0
34033,72072,1106,847,65.0,6,6,0
34034,72071,1106,840,37.0,8,8,0
34035,72070,1106,1,102.0,4,4,0
34036,72069,1106,832,68.0,5,5,0
34037,72068,1106,4,117.0,3,3,0
34038,72067,1106,815,126.0,2,2,2
34039,72066,1106,830,195.0,1,1,6
34040,72084,1106,844,54.0,7,7,0
34041,72085,1106,857,5.0,14,14,0
34042,72125,1107,857,5.0,14,14,0
34043,72124,1107,844,72.0,6,6,0
34044,72123,1107,839,31.0,9,9,0
34045,72122,1107,846,24.0,10,10,0
34046,72121,1107,855,4.0,16,16,0
34047,72120,1107,807,9.0,12,12,0
34048,72119,1107,856,0.0,20,20,0
34049,72118,1107,825,2.0,18,18,0
34050,72116,1107,852,2.0,17,17,0
34051,72114,1107,842,16.0,11,11,0
34052,72112,1107,847,72.0,7,7,0
34053,72111,1107,840,44.0,8,8,0
34054,72109,1107,832,82.0,5,5,0
34055,72107,1107,815,148.0,2,2,2
34056,72108,1107,4,131.0,3,3,0
34057,72110,1107,1,106.0,4,4,0
34058,72115,1107,848,7.0,13,13,0
34059,72106,1107,830,229.0,1,1,7
34060,72113,1107,822,5.0,15,15,0
34061,72117,1107,858,0.0,19,19,0
34062,72126,1108,830,255.0,1,1,8
34063,72127,1108,815,156.0,2,2,2
34064,72128,1108,4,137.0,3,3,0
34065,72129,1108,832,83.0,5,5,0
34066,72130,1108,1,121.0,4,4,0
34067,72131,1108,840,44.0,8,8,0
34068,72132,1108,847,82.0,6,6,0
34069,72133,1108,822,5.0,15,15,0
34070,72134,1108,842,16.0,12,12,0
34071,72135,1108,848,11.0,13,13,0
34072,72136,1108,852,2.0,17,17,0
34073,72137,1108,858,0.0,19,19,0
34074,72138,1108,825,2.0,18,18,0
34075,72139,1108,856,0.0,20,20,0
34076,72140,1108,807,9.0,14,14,0
34077,72141,1108,855,4.0,16,16,0
34078,72142,1108,846,42.0,9,9,0
